age_upon_outcome,sex_upon_outcome,animal_type,breed,color
9,2,1,288,388
44,2,1,288,388
42,2,1,288,388
42,2,1,288,388
38,2,1,983,471
7,2,1,720,7
42,2,1,80,7
15,3,1,901,118
40,2,1,397,52
7,3,0,552,58
44,2,0,552,136
40,2,1,720,388
10,3,1,839,260
9,2,0,544,136
9,2,0,544,136
9,3,0,544,432
9,3,0,544,432
42,2,0,552,136
9,2,1,719,181
7,2,1,590,372
44,3,1,397,481
11,3,1,824,432
11,3,1,824,432
40,3,1,720,55
38,3,1,720,55
40,3,1,720,55
38,3,1,720,55
11,2,1,64,92
44,2,1,901,55
40,2,1,901,55
44,3,0,552,7
42,2,1,534,213
38,3,0,1073,279
44,3,1,901,215
7,2,1,263,128
42,3,0,552,136
40,3,1,901,337
42,2,1,839,7
44,3,1,65,94
44,3,1,65,94
40,3,1,65,94
10,3,1,447,171
44,2,0,551,447
44,3,1,199,154
44,3,0,551,55
42,2,1,720,388
40,2,1,901,458
44,3,1,65,173
40,2,1,72,416
13,3,1,719,481
38,3,0,545,59
7,3,1,901,128
11,2,1,1038,459
7,2,1,923,7
40,2,1,923,7
44,2,0,552,149
7,3,1,1111,223
40,0,1,127,171
40,2,0,552,7
7,2,1,439,7
9,3,0,552,136
38,3,1,533,335
44,2,1,838,432
9,3,1,720,337
12,2,1,780,454
42,2,0,552,434
44,2,1,152,416
42,3,1,762,173
44,2,1,153,55
7,2,1,288,434
42,2,0,544,14
38,2,0,544,14
44,2,1,762,7
40,2,1,230,173
42,2,1,153,154
9,2,1,468,154
42,2,1,613,154
42,2,1,876,444
42,2,1,900,128
9,2,1,271,128
7,2,1,271,128
44,2,0,552,432
44,3,0,552,149
42,3,1,923,326
40,3,0,552,447
11,2,1,397,388
12,2,1,589,340
7,2,1,398,388
44,3,1,901,55
42,2,1,839,365
44,2,1,1055,337
40,3,1,839,37
42,3,1,590,154
40,3,1,987,475
40,3,1,987,475
7,3,1,65,158
7,2,1,820,213
42,2,1,444,173
9,2,1,720,7
11,2,1,398,475
11,2,1,398,475
38,2,1,1088,173
11,2,1,825,432
40,2,1,720,175
44,2,1,1144,432
42,2,1,1144,432
42,2,1,590,340
7,3,1,604,37
42,2,1,45,128
9,2,1,398,444
10,2,1,262,55
44,3,1,230,477
42,3,1,230,477
7,3,1,928,118
9,3,1,1157,37
44,2,1,629,182
38,2,0,552,447
38,2,1,720,55
12,2,1,1156,37
40,3,0,552,115
7,3,1,901,55
40,2,1,875,444
44,2,1,720,7
7,3,1,987,416
42,3,1,839,45
42,1,1,900,128
40,3,1,720,118
42,3,0,552,146
40,1,1,737,55
38,1,1,737,55
11,2,0,552,249
7,2,1,1110,7
44,2,1,875,416
38,3,1,1066,432
7,3,0,552,136
7,2,0,552,7
40,2,0,544,136
40,3,1,900,173
44,2,1,398,374
42,2,1,901,173
44,2,1,762,55
44,3,1,720,7
42,2,1,534,52
40,3,1,719,55
42,2,1,875,444
7,2,1,900,128
40,2,1,752,117
40,2,1,752,117
7,3,1,472,173
40,3,1,719,481
